Ques No.,Ques Type,Date,Ministry,Member,Subject,links
361,STARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,G.C. Chandrashekhar,Budget allocation for ICDS,https://pqars.nic.in/annex/256/AS361.pdf
3997,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Sanjay Singh,"Classification of offences under Juvenile Justice (Care and Protection of Children) Act, 2015",https://pqars.nic.in/annex/256/AU3997.pdf
3998,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Sanjay Singh,"Recommendation of NGOs on classification of offences under Juvenile Justice Act, 2015",https://pqars.nic.in/annex/256/AU3998.pdf
3993,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Prabhakar Reddy Vemireddy,Budget of POSHAN 2.0,https://pqars.nic.in/annex/256/AU3993.pdf
3985,UNSTARRED,06.04.2022,WOMEN AND CHILD DEVELOPMENT,Manoj Kumar Jha,Information about Sakhi-One-Stop Centres,https://pqars.nic.in/annex/256/AU3985.pdf
3196,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Shelter homes for widows,https://pqars.nic.in/annex/256/AU3196.pdf
291,STARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Vikas Mahatme,Child marriages in the country,https://pqars.nic.in/annex/256/AS291.pdf
3187,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Sasmit Patra,"Financial support for ASHA workers, Anganwadi workers, cooks and helpers",https://pqars.nic.in/annex/256/AU3187.pdf
3182,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Status of budget for Saksham Anganwadi and POSHAN 2.0 programme,https://pqars.nic.in/annex/256/AU3182.pdf
3198,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Sanjay Seth,Objective and salient features of Mahila Shakti Kendra scheme,https://pqars.nic.in/annex/256/AU3198.pdf
3183,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Sumer Singh Solanki,Anganwadi Centres in Madhya Pradesh,https://pqars.nic.in/annex/256/AU3183.pdf
292,STARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,Funds spent for advertisement of BBBP,https://pqars.nic.in/annex/256/AS292.pdf
3185,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Street children in the country,https://pqars.nic.in/annex/256/AU3185.pdf
3197,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Elamaram Kareem,Welfare of Anganwadi and ASHA workers,https://pqars.nic.in/annex/256/AU3197.pdf
3199,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,K.R.N. Rajeshkumar,Gender Budgeting System,https://pqars.nic.in/annex/256/AU3199.pdf
3190,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Amar Patnaik,Scheme for Adolescent Girls,https://pqars.nic.in/annex/256/AU3190.pdf
3194,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Rajendra Gehlot,Implementation of PMMVY in Rajasthan,https://pqars.nic.in/annex/256/AU3194.pdf
3195,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Rajendra Gehlot,Schemes for women and children in Rajasthan,https://pqars.nic.in/annex/256/AU3195.pdf
3186,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,S. Selvaganabathy,Improving nutritional levels of the population,https://pqars.nic.in/annex/256/AU3186.pdf
3193,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,Beneficiaries under PMMVY in UP,https://pqars.nic.in/annex/256/AU3193.pdf
3188,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Mausam Noor,Schemes to fight malnutrition,https://pqars.nic.in/annex/256/AU3188.pdf
298,STARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Kanimozhi NVN Somu,Huge gap between sanctioned and operational AWCs and MAWCs,https://pqars.nic.in/annex/256/AS298.pdf
3189,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Neeraj Dangi,Deaths of children due to malnutrition,https://pqars.nic.in/annex/256/AU3189.pdf
3184,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Narain Dass Gupta,Honorarium to Anganwadi workers,https://pqars.nic.in/annex/256/AU3184.pdf
3191,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,K.C. Venugopal,Objective and salient features of Mahila Police Volunteers,https://pqars.nic.in/annex/256/AU3191.pdf
3192,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,K.C. Venugopal,Benefit under PMMVY,https://pqars.nic.in/annex/256/AU3192.pdf
287,STARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Prakash Javadekar,Steps taken to improve job potential for women,https://pqars.nic.in/annex/256/AS287.pdf
3200,UNSTARRED,30.03.2022,WOMEN AND CHILD DEVELOPMENT,Naresh Bansal,Setting up of Sakhi Kendra for women,https://pqars.nic.in/annex/256/AU3200.pdf
2383,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Prevention of death of toddlers,https://pqars.nic.in/annex/256/AU2383.pdf
2388,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Vikas Mahatme,One-Stop Centres in Maharashtra,https://pqars.nic.in/annex/256/AU2388.pdf
2381,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Sanjay Seth,Implementation of Anganwadi Services Scheme,https://pqars.nic.in/annex/256/AU2381.pdf
2292,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Underutilisation of Nirbhaya fund,https://pqars.nic.in/annex/256/AU2292.pdf
2394,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Setting up shelter homes and widow shelter homes,https://pqars.nic.in/annex/256/AU2394.pdf
2390,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Rajani Patil,Cyber crimes committed against women and children during the pandemic,https://pqars.nic.in/annex/256/AU2390.pdf
2389,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,K.R. Suresh Reddy,Indulgence of juveniles in snatching,https://pqars.nic.in/annex/256/AU2389.pdf
2395,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,M. Shanmugam,Policy on rehabilitation of street children,https://pqars.nic.in/annex/256/AU2395.pdf
2399,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Fauzia Khan,Crimes against children,https://pqars.nic.in/annex/256/AU2399.pdf
2385,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Ripun Bora,Reduction of budget for social security programme for women and children,https://pqars.nic.in/annex/256/AU2385.pdf
2396,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Rajendra Gehlot,Schemes for women empowerment,https://pqars.nic.in/annex/256/AU2396.pdf
2384,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,S. Selvaganabathy,Grants under ICPS,https://pqars.nic.in/annex/256/AU2384.pdf
2400,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Rathwa Naranbhai Jemlabhai,Financial blow due to Corona pandemic on women,https://pqars.nic.in/annex/256/AU2400.pdf
2398,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Sushmita Dev,Rise in atrocities against women,https://pqars.nic.in/annex/256/AU2398.pdf
2397,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Iranna Kadadi,Domestic violence during lockdown,https://pqars.nic.in/annex/256/AU2397.pdf
2387,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,P. Wilson,Funds allocated through Swadhar Greh Scheme in Tamil Nadu,https://pqars.nic.in/annex/256/AU2387.pdf
2393,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Brijlal,Welfare of children who lost parents/guardians during COVID-19,https://pqars.nic.in/annex/256/AU2393.pdf
2382,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,K.C. Venugopal,Setting up more mini Anganwadi Centres,https://pqars.nic.in/annex/256/AU2382.pdf
2386,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Shanta Chhetri,Demands of woman tea plantation workers,https://pqars.nic.in/annex/256/AU2386.pdf
2304,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Parimal Nathwani,Funds allocated/released and utilised by different States in the country under NNM.,https://pqars.nic.in/annex/256/AU2304.pdf
2392,UNSTARRED,23.03.2022,WOMEN AND CHILD DEVELOPMENT,Naresh Bansal,Utilization of Nirbhaya fund,https://pqars.nic.in/annex/256/AU2392.pdf
1744,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,One Stop Centres in Indian Missions,https://pqars.nic.in/annex/256/AU1744.pdf
1748,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,K.C. Ramamurthy,Nirbhaya Fund,https://pqars.nic.in/annex/256/AU1748.pdf
1737,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Sanjay Seth,Funds for Nari Shakti Puraskar,https://pqars.nic.in/annex/256/AU1737.pdf
1742,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Decline in funds released under CPS Scheme,https://pqars.nic.in/annex/256/AU1742.pdf
1755,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Akhilesh Prasad Singh,Hostels for working women,https://pqars.nic.in/annex/256/AU1755.pdf
1743,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Syed Nasir Hussain,Online cyber grooming of women and young children,https://pqars.nic.in/annex/256/AU1743.pdf
1758,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,M. Mohamed Abdulla,Implementation of Saksham Anganwadi Scheme and POSHAN 2.0,https://pqars.nic.in/annex/256/AU1758.pdf
1759,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,VAIKO,Addiction of cell phones among children,https://pqars.nic.in/annex/256/AU1759.pdf
1754,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Geeta alias Chandraprabha,Nutritional diet for pregnant women,https://pqars.nic.in/annex/256/AU1754.pdf
1746,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Status of amenities in child care institutions under Juvenile Justice Act,https://pqars.nic.in/annex/256/AU1746.pdf
1747,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,T.G. Venkatesh,One-Stop Centres in Andhra Pradesh,https://pqars.nic.in/annex/256/AU1747.pdf
1760,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Harshvardhan Singh Dungarpur,Addition of tobacco among children,https://pqars.nic.in/annex/256/AU1760.pdf
1756,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Rajendra Gehlot,Smartphone and tablets to Anganwadi workers,https://pqars.nic.in/annex/256/AU1756.pdf
1757,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Rajendra Gehlot,Implementation of ICDS in Rajasthan,https://pqars.nic.in/annex/256/AU1757.pdf
1751,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Skewed sex ratio at birth in urban India,https://pqars.nic.in/annex/256/AU1751.pdf
158,STARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Ram Shakal,Framing of rules for development and protection for women and children,https://pqars.nic.in/annex/256/AS158.pdf
1752,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,V. Sivadasan,Malnutrition among children,https://pqars.nic.in/annex/256/AU1752.pdf
1745,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Prashanta Nanda,Children who lost their parents due to COVID-19,https://pqars.nic.in/annex/256/AU1745.pdf
1741,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Jawhar Sircar,Assistance to Angawadi centres/workers,https://pqars.nic.in/annex/256/AU1741.pdf
1738,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,G.C. Chandrashekhar,Increasing number of stunted children,https://pqars.nic.in/annex/256/AU1738.pdf
1749,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Manoj Kumar Jha,Funds for POSHAN Abhiyaan,https://pqars.nic.in/annex/256/AU1749.pdf
1750,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Manoj Kumar Jha,Missing children from Child Care Institutions,https://pqars.nic.in/annex/256/AU1750.pdf
1739,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Naresh Bansal,Increasing incidents of atrocities against women and children,https://pqars.nic.in/annex/256/AU1739.pdf
1740,UNSTARRED,16.03.2022,WOMEN AND CHILD DEVELOPMENT,Naresh Bansal,Honorarium to Anganwadi workers,https://pqars.nic.in/annex/256/AU1740.pdf
953,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Nutrition manufacturing units,https://pqars.nic.in/annex/256/AU953.pdf
85,STARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Sanjay Raut,Death of parents during COVID-19,https://pqars.nic.in/annex/256/AS85.pdf
954,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Regular monitoring mechanism for protection of child rights,https://pqars.nic.in/annex/256/AU954.pdf
952,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Priyanka Chaturvedi,Draft National Policy for Women,https://pqars.nic.in/annex/256/AU952.pdf
956,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Ram Chander Jangra,Hostel for working women in Haryana,https://pqars.nic.in/annex/256/AU956.pdf
89,STARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Ram Chander Jangra,Children beneficiaries under ICDS,https://pqars.nic.in/annex/256/AS89.pdf
942,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Ayodhya Rami Reddy,Funds for Anganwadis,https://pqars.nic.in/annex/256/AU942.pdf
941,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Suresh Gopi,Details of child marriage,https://pqars.nic.in/annex/256/AU941.pdf
943,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,M. Mohamed Abdulla,'One-Stop Centre' scheme in Tamil Nadu,https://pqars.nic.in/annex/256/AU943.pdf
960,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Mallikarjun Kharge,Hunger problem in India,https://pqars.nic.in/annex/256/AU960.pdf
955,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Vinay P. Sahasrabuddhe,Development of children,https://pqars.nic.in/annex/256/AU955.pdf
950,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Narhari Amin,Anganwadi Centres in Gujarat,https://pqars.nic.in/annex/256/AU950.pdf
944,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Ramkumar Verma,Policies and programmes for women and children,https://pqars.nic.in/annex/256/AU944.pdf
948,UNSTARRED,09.02.2022,WOMEN AND CHILD DEVELOPMENT,Amar Patnaik,National Creche Schemes,https://pqars.nic.in/annex/256/AU948.pdf
